key_mlbam,name_first,name_last,full_name
605152,jed,bradley,jed bradley
110625,manuel,barrios,manuel barrios
118336,frank,martin,frank martin
111603,byron,browne,byron browne
800935,john,jackson,john jackson
113051,rolla,daringer,rolla daringer
111880,fred,caligiuri,fred caligiuri
115817,liván,hernández,liván hernández
818638,w. h.,kelly,w. h. kelly
117263,steve,korcheck,steve korcheck
122501,pop,snyder,pop snyder
122925,tony,suck,tony suck
117218,mark,knudson,mark knudson
594987,casey,sadler,casey sadler
115724,hank,helf,hank helf
219594,tomo,ohka,tomo ohka
121937,jack,scott,jack scott
117827,larry,littleton,larry littleton
553832,tracy,ringolsby,tracy ringolsby
680911,owen,miller,owen miller
117740,mark,lewis,mark lewis
407900,miguel,asencio,miguel asencio
669242,tommy,edman,tommy edman
123254,kite,thomas,kite thomas
430655,jorge,vásquez,jorge vásquez
111361,neal,brady,neal brady
121259,john,roach,john roach
817576,bill,reynolds,bill reynolds
703231,james,meeker,james meeker
660636,diego,castillo,diego castillo
819385,george,giles,george giles
116963,billy,kelly,billy kelly
111391,mike,brannock,mike brannock
110907,al,bergman,al bergman
115869,george,hesselbacher,george hesselbacher
119255,ed,montague,ed montague
123267,bill,thomas,bill thomas
110478,jesse,baker,jesse baker
112952,john,curran,john curran
123168,pussy,tebeau,pussy tebeau
114307,tom,ford,tom ford
122469,bill,smith,bill smith
123087,lee,tannehill,lee tannehill
112443,george,coffman,george coffman
112040,don,carrithers,don carrithers
121605,alex,sabo,alex sabo
431088,bob,webb,bob webb
124589,jimmy,woulfe,jimmy woulfe
115153,tommy,griffith,tommy griffith
118729,slim,mcgrew,slim mcgrew
113525,jeff,doyle,jeff doyle
118394,leech,maskrey,leech maskrey
817402,frank,russell,frank russell
818695,a.,jones,a. jones
122302,john,skopec,john skopec
816448,leovigildo,xiqués,leovigildo xiqués
818458,coley,logan,coley logan
137203,dan,smith,dan smith
570666,luis,cessa,luis cessa
111852,craig,cacek,craig cacek
113320,charlie,dewald,charlie dewald
123963,herb,washington,herb washington
123602,julio,valdez,julio valdez
118928,dutch,mele,dutch mele
430963,tony,peña,tony peña
123847,jim,walkup,jim walkup
124296,davey,williams,davey williams
116533,jackie,jensen,jackie jensen
642239,rob,zastryzny,rob zastryzny
117084,lynn,king,lynn king
124568,kerry,woodson,kerry woodson
113526,jess,doyle,jess doyle
122044,greg,shanahan,greg shanahan
122671,joe,stanley,joe stanley
457826,tom,mastny,tom mastny
676914,davis,schneider,davis schneider
819103,leroy,haynes,leroy haynes
120783,earl,pruess,earl pruess
282562,adam,pettyjohn,adam pettyjohn
434670,hanley,ramírez,hanley ramírez
121701,edward,santry,edward santry
121198,joe,riggert,joe riggert
819113,johnny,hayes,johnny hayes
110472,floyd,baker,floyd baker
819859,g.,davis,g. davis
819510,frank,forbes,frank forbes
117951,fletcher,low,fletcher low
121564,reb,russell,reb russell
642094,tyler,smith,tyler smith
116497,roy,jarvis,roy jarvis
819697,bill,duffy,bill duffy
816518,elmer,wilson,elmer wilson
111982,leo,cárdenas,leo cárdenas
119805,al,nipper,al nipper
118137,bill,magee,bill magee
115849,herb,herring,herb herring
114941,lee,gooch,lee gooch
448609,tony,sipp,tony sipp
346858,eric,valent,eric valent
111399,kitty,brashear,kitty brashear
112566,jocko,conlon,jocko conlon
117893,jeoff,long,jeoff long
119053,mike,miley,mike miley
118173,duster,mails,duster mails
421684,chris,snelling,chris snelling
150034,doug,creek,doug creek
116617,randy,johnson,randy johnson
119193,john,mitchell,john mitchell
434705,jason,repko,jason repko
227495,trent,durrington,trent durrington
124538,joe,wood,joe wood
446290,daniel,moskos,daniel moskos
120848,tom,quinn,tom quinn
119205,ralph,mitterling,ralph mitterling
122134,ed,sherling,ed sherling
501869,graham,taylor,graham taylor
285064,ryan,vogelsong,ryan vogelsong
117006,kurt,kepshire,kurt kepshire
460621,nate,spears,nate spears
702332,caleb,durbin,caleb durbin
666674,edwar,colina,edwar colina
132620,donnie,sadler,donnie sadler
119257,rafael,montalvo,rafael montalvo
124645,george,yankowski,george yankowski
506627,ray,brown,ray brown
121848,pete,schneider,pete schneider
596816,roberto,gómez,roberto gómez
122363,pop,smith,pop smith
124100,johnny,werts,johnny werts
117162,joe,klinger,joe klinger
112438,jim,cockman,jim cockman
116091,ed,holly,ed holly
118140,sal,maglie,sal maglie
110525,chris,bando,chris bando
120515,red,phillips,red phillips
122443,pete,smith,pete smith
820711,bubbles,anderson,bubbles anderson
123056,ad,swigler,ad swigler
492661,jack,mccallister,jack mccallister
502593,jake,petricka,jake petricka
118683,ambrose,mcgann,ambrose mcgann
664180,matt,hall,matt hall
818726,slim,johnson,slim johnson
114369,paul,foytack,paul foytack
112157,orlando,cepeda,orlando cepeda
112365,william,clarke,william clarke
621242,edwin,díaz,edwin díaz
400268,j. c.,boscán,j. c. boscán
120053,frank,o'rourke,frank o'rourke
670032,nicky,lopez,nicky lopez
122587,vern,spencer,vern spencer
820032,gilbert,coleman,gilbert coleman
110274,wally,andrews,wally andrews
114017,steve,farr,steve farr
119411,mike,morrison,mike morrison
115124,ed,gremminger,ed gremminger
120958,floyd,rayford,floyd rayford
622270,alex,mejia,alex mejia
113674,john,dwyer,john dwyer
118750,vance,mcilree,vance mcilree
115912,bob,higgins,bob higgins
117534,bill,lattimore,bill lattimore
820005,rafael,concepción,rafael concepción
113220,jim,delahanty,jim delahanty
644428,troy,scribner,troy scribner
115312,ed,haigh,ed haigh
120361,eddie,pellagrini,eddie pellagrini
819240,speedball,hackett,speedball hackett
664040,brandon,lowe,brandon lowe
121935,john,scott,john scott
121080,xavier,rescigno,xavier rescigno
124590,al,wright,al wright
121840,crazy,schmit,crazy schmit
518883,dean,kiekhefer,dean kiekhefer
124005,jim,weaver,jim weaver
122003,steve,senteney,steve senteney
114004,harry,fanwell,harry fanwell
596001,jakob,junis,jakob junis
593576,héctor,neris,héctor neris
110726,alex,beam,alex beam
467092,wilson,ramos,wilson ramos
457456,jo-jo,reyes,jo-jo reyes
657248,glenn,otto,glenn otto
115333,ed,halicki,ed halicki
457574,jordan,pacheco,jordan pacheco
819687,joe,duncan,joe duncan
543744,josh,satin,josh satin
124755,todd,zeile,todd zeile
121820,victor,schlitzer,victor schlitzer
502522,justin,miller,justin miller
445926,jesse,chavez,jesse chavez
116199,chris,howard,chris howard
112126,roy,castleton,roy castleton
112339,bobby,clark,bobby clark
113285,paul,derringer,paul derringer
451109,brett,hayes,brett hayes
407870,josh,pearce,josh pearce
696100,hunter,goodman,hunter goodman
117668,mark,lemke,mark lemke
115545,rit,harrison,rit harrison
118985,matt,merullo,matt merullo
117029,fred,ketchum,fred ketchum
117368,ryan,kurosaki,ryan kurosaki
817020,bob,taylor,bob taylor
121522,dick,rozek,dick rozek
112703,frank,corridon,frank corridon
119800,tom,niland,tom niland
115663,egyptian,healy,egyptian healy
112027,charlie,carr,charlie carr
818445,red,longley,red longley
120992,hugh,reid,hugh reid
608337,lucas,giolito,lucas giolito
122069,shag,shaughnessy,shag shaughnessy
658668,edward,olivares,edward olivares
111408,frank,brazill,frank brazill
111470,frank,brill,frank brill
113420,ed,doheny,ed doheny
446973,rudy,hernandez,rudy hernandez
110875,shayne,bennett,shayne bennett
114717,george,gerken,george gerken
112994,john,dailey,john dailey
641796,tim,locastro,tim locastro
406723,andy,barkett,andy barkett
819325,sam,gordon,sam gordon
519455,jordan,zimmermann,jordan zimmermann
121675,roy,sanders,roy sanders
676886,jeremy,beasley,jeremy beasley
111967,tom,cantwell,tom cantwell
