runner_id,sprint_speed
624641,29.6
669701,28.2
595978,26.6
669707,28.4
667670,26.2
808982,28.4
669720,28.9
663586,27.8
669743,28.4
596019,28.4
571448,26.1
663611,28.0
677950,29.3
677951,30.3
663616,26.5
444482,27.6
608324,28.3
663624,28.0
571466,25.6
456781,27.3
663630,29.1
608336,28.2
596059,28.1
608348,23.6
663647,28.0
663656,26.3
694384,26.8
608369,26.9
678009,29.0
608385,25.9
596103,28.5
647304,26.1
686217,28.6
665742,27.2
663697,28.5
663698,26.7
596115,29.6
643217,28.6
657557,28.4
596117,28.0
665750,29.1
702616,29.4
645277,28.7
622761,29.4
673962,27.0
596142,26.2
663728,27.0
596146,28.1
645302,30.9
680118,28.9
647351,28.8
663743,26.2
682177,28.3
665804,26.0
663757,29.0
542932,29.2
669911,28.3
643289,27.3
676059,28.9
665828,27.6
665833,29.9
665839,26.4
657656,29.0
598265,27.5
606466,28.1
665862,28.1
571657,26.2
676116,27.3
663837,29.1
641313,28.8
663845,26.6
502054,28.6
663853,28.0
641343,27.8
516416,28.7
643393,27.7
592192,28.2
665923,29.8
643396,28.0
665926,28.8
641355,28.8
592206,26.5
663886,26.8
670032,28.5
678225,29.0
649557,29.1
543063,26.8
663897,28.9
670042,28.9
663898,27.2
657757,26.7
502110,27.8
545121,26.0
571745,28.8
678246,29.3
547180,27.7
643446,27.8
571771,27.2
686469,25.6
694671,29.8
592273,27.6
641432,25.4
608671,29.8
666023,27.1
575929,28.2
663993,27.1
608701,27.2
518595,26.6
592325,28.1
670156,27.5
455117,25.0
641487,27.9
664023,28.8
621020,28.9
518626,26.7
664034,25.9
621028,29.0
664040,27.5
621035,28.5
643565,28.4
621043,28.3
664056,29.8
664059,28.7
641531,27.8
543228,26.8
571912,26.4
676369,28.2
672275,26.2
666134,28.1
672279,25.2
543257,27.6
680474,27.8
666139,28.9
672284,27.2
670242,28.3
518692,25.5
666149,30.1
676391,28.5
666152,29.2
666158,28.8
641584,27.5
543281,27.2
666160,28.1
666163,26.8
545341,28.7
641598,27.2
666176,29.3
592450,25.7
668227,29.4
571970,27.3
666181,29.2
666182,28.4
666185,27.9
543305,28.3
608841,25.8
686668,29.9
543309,25.2
518735,24.2
545361,29.6
686676,28.1
686681,27.1
672356,28.0
623205,27.0
641645,26.4
641658,30.0
662139,28.3
676475,25.3
680574,29.0
672386,23.7
682626,25.3
592518,27.4
518792,27.4
572041,29.0
641680,25.3
682641,27.7
408234,24.2
516782,29.6
664238,28.4
660162,28.3
666310,27.4
686797,25.6
686823,27.5
649966,28.0
592626,27.2
680700,27.8
676609,29.0
672515,27.5
678662,27.4
606992,26.3
543510,26.8
592663,28.8
518934,27.3
592669,27.1
666397,27.0
572191,28.7
600869,27.6
572204,28.4
686894,28.9
660271,28.3
690993,27.7
680757,28.4
592696,28.5
668472,27.2
641857,25.8
607043,28.7
572228,26.1
672580,28.5
514888,28.4
572233,27.2
680776,29.3
680779,28.2
680777,25.6
682829,30.5
607054,28.5
691023,28.5
670541,26.8
467793,25.5
691026,29.2
676694,29.2
594777,26.5
676701,26.9
514917,29.8
543592,27.2
594807,27.5
807799,26.2
578428,28.4
621438,28.3
621439,30.9
672640,27.5
641933,29.5
553869,27.2
502671,27.4
805779,27.2
641943,28.3
553882,24.3
670623,25.5
680869,29.0
682928,29.0
656305,28.7
621493,28.1
672695,27.3
605113,28.4
605119,26.7
453568,27.9
676801,28.7
543685,27.7
605131,27.2
541645,29.0
680911,29.1
605137,27.3
605141,28.7
678882,28.7
607208,30.6
457705,28.5
682985,27.7
621550,27.8
605170,25.3
592885,28.8
682998,30.7
683002,29.0
621563,28.6
668670,26.7
666624,28.8
609280,27.2
683011,28.4
500743,26.4
553993,27.0
543760,28.9
680977,27.2
605204,26.8
689172,27.9
656413,28.9
457759,26.1
519203,26.0
668709,27.7
642086,25.4
668715,27.4
670764,28.6
670770,27.4
676914,27.4
672820,27.6
693304,28.8
668731,28.8
543807,28.8
656448,28.6
642133,25.2
642136,25.6
650333,26.9
646240,28.0
701538,28.5
570482,26.7
679032,29.5
681082,29.0
664702,29.3
668800,26.2
642180,29.0
668804,28.1
543877,26.3
500871,27.4
683146,26.9
547989,25.7
519317,27.1
650391,27.7
664728,28.3
656541,29.1
687263,27.7
650402,27.1
660644,28.8
443558,26.2
656555,26.1
666801,27.3
664761,27.3
681146,26.9
660670,29.6
543939,27.4
691016,25.7
656582,26.8
664774,28.1
660688,25.6
668904,28.4
658668,28.9
650489,28.6
650490,27.5
668930,29.4
687363,30.0
593160,29.0
668939,27.1
668942,28.1
462101,27.7
660757,28.8
695578,28.7
660766,26.8
642336,27.5
666915,26.7
623912,28.9
687401,28.1
642350,30.2
650559,28.1
664901,27.0
669004,27.8
656716,28.0
671056,26.2
664913,28.3
595281,29.6
681297,27.9
660821,26.6
669016,29.1
666969,29.1
630105,28.7
666971,28.0
572761,26.9
570731,26.7
623993,26.6
656775,29.3
681351,26.7
669065,27.0
664983,30.4
656811,26.9
605612,27.5
607680,28.7
669127,28.7
669134,25.8
673237,27.6
640492,29.4
671213,24.9
542194,28.2
671218,27.4
607732,23.7
671221,28.6
656896,27.4
691718,29.9
681481,27.3
593428,28.3
622110,28.3
665120,25.9
669221,26.0
669222,29.4
669224,26.7
656941,27.1
671277,26.7
671289,28.1
669242,29.4
665155,27.1
665161,29.4
681546,27.7
669257,27.6
673357,29.1
669261,28.6
656976,26.8
542303,28.2
669289,27.0
679529,27.8
650859,28.0
669304,26.2
657041,29.6
642708,30.1
681624,28.3
642715,28.4
542364,28.2
642731,27.9
669357,27.0
677551,28.5
669364,28.2
657077,24.3
573131,25.6
673490,28.4
669394,27.8
677587,27.4
669397,27.7
683737,26.9
677594,29.7
628451,28.0
657136,28.9
673548,28.3
493329,27.3
677649,29.1
624413,26.5
624414,27.6
624415,28.3
642851,25.1
669477,28.0
624424,27.3
624428,27.8
624431,25.9
667452,28.4
