catcher_id,target_base,pop_time
542208,3B,1.478
571912,3B,1.639
595978,3B,1.511
666128,3B,1.92
672275,3B,1.41
682515,3B,
641555,3B,
661531,3B,1.517
663584,3B,
669221,3B,1.448
669224,3B,1.6
668721,3B,1.5
547379,3B,1.702
666163,3B,1.517
666165,3B,1.54
681526,3B,
519222,3B,1.642
693307,3B,1.565
605244,3B,1.467
641598,3B,1.687
623168,3B,1.47
672832,3B,
444489,3B,1.562
669257,3B,1.505
571466,3B,1.596
543309,3B,1.516
545358,3B,1.555
518735,3B,1.631
686676,3B,1.435
676439,3B,
642136,3B,1.535
608348,3B,1.5
608360,3B,
687221,3B,1.48
662139,3B,
668800,3B,1.53
672386,3B,1.513
682626,3B,
543877,3B,1.549
641680,3B,1.562
663698,3B,1.58
596117,3B,1.52
656024,3B,1.478
650907,3B,1.525
664731,3B,
668832,3B,1.58
608422,3B,1.57
682663,3B,1.52
596142,3B,1.48
663728,3B,1.475
645305,3B,1.615
686780,3B,1.42
663743,3B,1.475
656577,3B,1.39
666310,3B,1.445
665804,3B,1.59
660688,3B,1.586
650968,3B,1.62
519390,3B,1.623
690924,3B,1.49
605421,3B,1.54
657136,3B,1.543
656627,3B,1.47
542963,3B,1.53
672515,3B,1.53
665861,3B,
689414,3B,1.65
669450,3B,1.57
668939,3B,1.497
606988,3B,1.552
606992,3B,1.54
664850,3B,1.7
643348,3B,
543510,3B,1.544
592663,3B,
680728,3B,1.6
642336,3B,1.622
642851,3B,1.498
696100,3B,
595751,3B,1.55
664874,3B,1.525
657709,3B,1.6
668974,3B,
624431,3B,1.588
643376,3B,1.551
656180,3B,1.97
488771,3B,1.58
645444,3B,
691011,3B,1.45
592200,3B,1.653
680777,3B,1.527
691016,3B,1.47
680779,3B,1.49
669004,3B,1.61
691019,3B,1.58
663886,3B,1.588
506702,3B,1.542
671056,3B,1.635
644433,3B,1.51
681807,3B,1.48
595284,3B,1.552
608596,3B,1.61
657247,3B,
682848,3B,
547172,3B,1.538
686948,3B,1.47
435559,3B,1.626
543592,3B,1.585
665966,3B,1.47
686452,3B,1.54
664954,3B,1.57
650619,3B,1.55
572287,3B,1.588
624512,3B,1.644
624513,3B,1.55
640902,3B,1.78
681351,3B,1.587
661388,3B,1.538
553869,3B,
686482,3B,1.5
425877,3B,1.765
553882,3B,1.632
620443,3B,1.44
600474,3B,1.585
680862,3B,
669087,3B,1.477
663967,3B,
666023,3B,1.527
700337,3B,1.61
575929,3B,1.551
608700,3B,1.61
641470,3B,1.59
572863,3B,1.58
518595,3B,1.596
669127,3B,1.46
621512,3B,1.528
605131,3B,1.602
455117,3B,1.54
669134,3B,1.505
673237,3B,1.513
665561,3B,1.51
521692,3B,
621532,3B,1.58
680418,3B,
455139,3B,1.722
642020,3B,1.53
641511,3B,1.53
542194,3B,1.56
605170,3B,
607732,3B,1.555
595956,3B,1.565
656883,3B,1.53
668663,3B,1.69
543228,3B,1.592
595453,3B,1.648
668670,3B,1.523
542208,2B,1.973
571912,2B,1.971
595978,2B,1.926
666128,2B,2.1
672275,2B,1.87
682515,2B,1.98
641555,2B,
661531,2B,2.0
663584,2B,1.89
669221,2B,1.92
669224,2B,1.967
668721,2B,1.99
547379,2B,1.976
666163,2B,1.932
666165,2B,2.017
681526,2B,1.97
519222,2B,2.06
693307,2B,1.95
605244,2B,1.94
641598,2B,2.027
623168,2B,1.948
672832,2B,2.05
444489,2B,1.959
669257,2B,1.954
571466,2B,1.993
543309,2B,1.972
545358,2B,2.035
518735,2B,2.047
686676,2B,1.88
676439,2B,
642136,2B,1.995
608348,2B,1.99
608360,2B,2.015
687221,2B,1.94
662139,2B,2.007
668800,2B,2.016
672386,2B,1.987
682626,2B,
543877,2B,1.974
641680,2B,1.982
663698,2B,2.004
596117,2B,1.883
656024,2B,1.973
650907,2B,1.9
664731,2B,
668832,2B,2.0
608422,2B,1.97
682663,2B,2.02
596142,2B,1.929
663728,2B,1.968
645305,2B,1.93
686780,2B,1.935
663743,2B,1.952
656577,2B,1.973
666310,2B,1.975
665804,2B,2.0
660688,2B,2.042
650968,2B,2.1
519390,2B,2.1
690924,2B,1.97
605421,2B,1.978
657136,2B,1.926
656627,2B,1.92
542963,2B,2.032
672515,2B,1.908
665861,2B,
689414,2B,1.99
669450,2B,2.08
668939,2B,1.935
606988,2B,1.968
606992,2B,1.918
664850,2B,2.05
643348,2B,2.055
543510,2B,2.005
592663,2B,
680728,2B,2.04
642336,2B,1.935
642851,2B,1.981
696100,2B,1.97
595751,2B,1.963
664874,2B,1.984
657709,2B,2.08
668974,2B,1.92
624431,2B,2.041
643376,2B,1.999
656180,2B,1.954
488771,2B,2.013
645444,2B,
691011,2B,1.94
592200,2B,2.023
680777,2B,1.985
691016,2B,1.97
680779,2B,1.89
669004,2B,2.035
691019,2B,1.98
663886,2B,1.99
506702,2B,1.994
671056,2B,1.992
644433,2B,1.918
681807,2B,1.955
595284,2B,1.974
608596,2B,2.034
657247,2B,1.97
682848,2B,1.88
547172,2B,1.973
686948,2B,1.95
435559,2B,2.064
543592,2B,1.985
665966,2B,1.92
686452,2B,1.927
664954,2B,2.057
650619,2B,1.98
572287,2B,1.996
624512,2B,1.966
624513,2B,2.057
640902,2B,1.93
681351,2B,2.042
661388,2B,1.967
553869,2B,
686482,2B,1.87
425877,2B,1.98
553882,2B,2.021
620443,2B,1.946
600474,2B,1.973
680862,2B,2.0
669087,2B,1.973
663967,2B,1.99
666023,2B,1.908
700337,2B,1.97
575929,2B,1.942
608700,2B,2.088
641470,2B,2.045
572863,2B,1.995
518595,2B,2.013
669127,2B,1.908
621512,2B,1.929
605131,2B,2.058
455117,2B,1.943
669134,2B,1.937
673237,2B,1.953
665561,2B,1.878
521692,2B,
621532,2B,1.962
680418,2B,2.12
455139,2B,2.032
642020,2B,1.935
641511,2B,1.977
542194,2B,1.892
605170,2B,
607732,2B,2.0
595956,2B,2.013
656883,2B,2.11
668663,2B,2.027
543228,2B,1.958
595453,2B,1.991
668670,2B,1.934
