catcher_index,catcher_id
0,542208
1,571912
2,595978
3,666128
4,672275
5,682515
6,641555
7,661531
8,663584
9,669221
10,669224
11,668721
12,547379
13,666163
14,666165
15,681526
16,519222
17,693307
18,605244
19,641598
20,623168
21,672832
22,444489
23,669257
24,571466
25,543309
26,545358
27,518735
28,686676
29,676439
30,642136
31,608348
32,608360
33,687221
34,662139
35,668800
36,672386
37,682626
38,543877
39,641680
40,663698
41,596117
42,656024
43,650907
44,664731
45,668832
46,608422
47,682663
48,596142
49,663728
50,645305
51,686780
52,663743
53,656577
54,666310
55,665804
56,660688
57,650968
58,519390
59,690924
60,605421
61,657136
62,656627
63,542963
64,672515
65,665861
66,689414
67,669450
68,668939
69,606988
70,606992
71,664850
72,643348
73,543510
74,592663
75,680728
76,642336
77,642851
78,696100
79,595751
80,664874
81,657709
82,668974
83,624431
84,643376
85,656180
86,488771
87,645444
88,691011
89,592200
90,680777
91,691016
92,680779
93,669004
94,663886
95,506702
96,671056
97,644433
98,681807
99,595284
100,608596
101,657247
102,682848
103,547172
104,686948
105,435559
106,543592
107,665966
108,686452
109,664954
110,650619
111,572287
112,624512
113,624513
114,640902
115,681351
116,661388
117,553869
118,686482
119,425877
120,553882
121,620443
122,600474
123,669087
124,663967
125,666023
126,700337
127,575929
128,608700
129,641470
130,572863
131,518595
132,669127
133,621512
134,605131
135,455117
136,669134
137,673237
138,665561
139,521692
140,621532
141,680418
142,455139
143,642020
144,641511
145,542194
146,605170
147,607732
148,595956
149,656883
150,668663
151,543228
152,595453
153,668670
