pitcher_index,pitcher_id
0,0
1,663554
2,808963
3,663556
4,663559
5,624647
6,456713
7,663562
8,808967
9,669711
10,622608
11,669713
12,663567
13,663568
14,665620
15,665621
16,663574
17,661527
18,665625
19,694297
20,682010
21,669721
22,669724
23,596001
24,493603
25,665645
26,671790
27,571446
28,593974
29,677944
30,661563
31,692285
32,665665
33,673858
34,682051
35,682052
36,677955
37,677958
38,675911
39,622663
40,608328
41,663623
42,608331
43,675916
44,677960
45,608334
46,667725
47,608337
48,612434
49,675921
50,571479
51,608344
52,596057
53,694363
54,608349
55,606303
56,657508
57,622694
58,596071
59,663658
60,657514
61,667755
62,596082
63,608371
64,608372
65,118901
66,608379
67,641149
68,641154
69,678020
70,663687
71,682120
72,678024
73,686218
74,673929
75,645261
76,596112
77,647315
78,571539
79,675989
80,663704
81,669854
82,542881
83,544931
84,657571
85,596133
86,542888
87,647336
88,688297
89,678061
90,622766
91,673965
92,657585
93,671922
94,622772
95,643256
96,547001
97,571578
98,682171
99,694462
100,682175
101,542914
102,665795
103,663752
104,434378
105,657612
106,694477
107,690382
108,674003
109,663765
110,116950
111,686294
112,606424
113,669912
114,643290
115,663773
116,592094
117,663776
118,669920
119,501985
120,669923
121,542947
122,657649
123,682227
124,676083
125,598264
126,669947
127,663804
128,518397
129,676092
130,669952
131,682243
132,571656
133,676105
134,676106
135,643338
136,598286
137,598287
138,665871
139,682254
140,641302
141,571670
142,674072
143,502042
144,502043
145,592155
146,684320
147,657697
148,676130
149,665896
150,663855
151,596271
152,643377
153,641329
154,608566
155,543037
156,571710
157,502085
158,663878
159,596295
160,702795
161,543056
162,641360
163,657746
164,678226
165,670036
166,663893
167,475479
168,518489
169,670046
170,663903
171,676194
172,547179
173,528748
174,670059
175,676206
176,571760
177,547184
178,690544
179,518516
180,641401
181,543101
182,592254
183,534910
184,663941
185,594311
186,608648
187,670090
188,663947
189,641420
190,641427
191,670102
192,571800
193,518553
194,608665
195,502171
196,676254
197,543135
198,606625
199,663969
200,502179
201,643493
202,608678
203,641447
204,676263
205,676265
206,663978
207,670124
208,676272
209,663986
210,663989
211,643511
212,663992
213,518585
214,502202
215,676282
216,686539
217,592332
218,608716
219,608717
220,455119
221,608718
222,694738
223,608723
224,670167
225,571863
226,518617
227,592346
228,664028
229,641501
230,670174
231,592351
232,678368
233,686563
234,571882
235,674285
236,434671
237,686580
238,678394
239,621051
240,571901
241,664062
242,621053
243,641540
