runner_id,sprint_speed
624641,29.6
669701,28.2
595978,26.6
456715,28.9
669707,28.4
593934,27.7
444432,27.1
446481,27.2
808982,28.4
667670,26.2
669720,28.9
663586,27.8
475174,24.8
571437,29.4
452655,27.3
669743,28.4
596019,28.4
571448,26.1
663611,28.0
677950,29.3
677951,30.3
663616,26.5
444482,27.6
608324,28.3
452678,26.6
663624,28.0
444489,25.1
622666,26.7
571466,25.6
456781,27.3
663630,29.1
608336,28.2
622682,29.2
606299,29.1
596059,28.1
448602,25.8
608348,23.6
663647,28.0
663656,26.3
608365,28.0
467055,24.7
694384,26.8
608369,26.9
571506,24.4
475253,24.0
678009,29.0
608384,29.1
608385,25.9
596103,28.5
647304,26.1
501896,26.7
686217,28.6
665742,27.2
643217,28.6
663697,28.5
596115,29.6
465041,26.2
657557,28.4
665750,29.1
596117,28.0
702616,29.4
663698,26.7
491676,28.5
645277,28.7
622761,29.4
673962,27.0
596142,26.2
546991,28.1
596144,27.1
663728,27.0
596146,28.1
645302,30.9
680118,28.9
647351,28.8
547004,26.6
485567,28.4
663743,26.2
643265,27.4
542921,28.3
665804,26.0
663757,29.0
571602,25.5
542932,29.2
669911,28.3
643289,27.3
676059,28.9
501981,26.8
665828,27.6
665833,29.9
600303,26.4
665839,26.4
657656,29.0
598265,27.5
606466,28.1
542979,29.7
665862,28.1
571657,26.2
676116,27.3
520471,27.1
663837,29.1
641313,28.8
448801,26.9
663845,26.6
502054,28.6
641319,27.1
663853,28.0
571697,26.8
592178,28.6
641343,27.8
592192,28.2
516416,28.7
643393,27.7
502082,27.1
643396,28.0
608577,26.9
571718,28.3
665926,28.8
592200,24.8
665923,29.8
641355,28.8
592206,26.5
670032,28.5
678225,29.0
608596,27.2
608597,26.2
649557,29.1
543063,26.8
663897,28.9
670042,28.9
663898,27.2
571740,29.7
543068,26.0
502110,27.8
657757,26.7
571745,28.8
545121,26.0
547172,27.2
678246,29.3
547180,27.7
643446,27.8
571771,27.2
502143,26.9
543105,27.7
592261,30.5
686469,25.6
571788,28.6
694671,29.8
592273,27.6
641432,25.4
600474,27.8
608671,29.8
666023,27.1
571830,25.3
663993,27.1
518586,28.4
575929,28.2
608700,26.9
608701,27.2
475582,26.1
453056,27.4
502210,27.8
518595,26.6
592325,28.1
453064,26.1
621002,27.5
444876,27.4
600524,27.4
455117,25.0
641487,27.9
670156,27.5
518614,27.4
664023,28.8
518618,27.6
592348,28.6
621020,28.9
434658,29.2
455139,25.7
621028,29.0
664034,25.9
571875,26.7
518626,26.7
664040,27.5
621035,28.5
643565,28.4
434670,26.5
408045,26.5
500208,25.4
621043,28.3
664056,29.8
664058,28.1
641531,27.8
543228,26.8
664059,28.7
461314,25.9
592387,26.4
664068,29.4
571912,26.4
150029,26.0
641553,30.4
676369,28.2
643603,26.9
672275,26.2
666134,28.1
672279,25.2
543257,27.6
680474,27.8
666139,28.9
672284,27.2
670242,28.3
518692,25.5
666149,30.1
676391,28.5
666152,29.2
666158,28.8
641584,27.5
543281,27.2
666160,28.1
547379,25.6
666163,26.8
592444,28.4
545341,28.7
641598,27.2
666176,29.3
571970,27.3
668227,29.4
592450,25.7
666181,29.2
666182,28.4
545350,29.4
571976,28.5
543305,28.3
666185,27.9
608841,25.8
543308,26.8
571980,28.2
686668,29.9
518735,24.2
543309,25.2
545361,29.6
686676,28.1
686681,27.1
434778,24.3
672356,28.0
543333,27.1
623205,27.0
572008,28.5
641645,26.4
641658,30.0
662139,28.3
676475,25.3
680574,29.0
445055,26.2
682626,25.3
672386,23.7
592518,27.4
572039,27.9
518792,27.4
572041,29.0
543376,26.4
682641,27.7
641680,25.3
516770,27.5
459431,25.8
543401,27.3
572073,28.2
408234,24.2
408236,24.0
516782,29.6
664238,28.4
592567,26.2
408252,25.8
527038,25.8
660162,28.3
527043,28.7
666310,27.4
502481,29.5
400085,27.9
572122,26.1
686823,27.5
649966,28.0
430832,25.6
592626,27.2
502517,25.7
408314,27.4
543484,28.5
680700,27.8
621311,28.5
676609,29.0
672515,27.5
641796,28.7
594694,28.8
678662,27.4
596748,26.7
606992,26.3
543510,26.8
592663,28.8
518934,27.3
641820,27.5
592669,27.1
666397,27.0
572191,28.7
600869,27.6
572204,28.4
686894,28.9
660271,28.3
518960,25.6
690993,27.7
680757,28.4
543543,27.7
592696,28.5
656185,28.6
471865,26.4
668472,27.2
641857,25.8
607043,28.7
672580,28.5
572228,26.1
514888,28.4
572233,27.2
680776,29.3
691016,25.7
680779,28.2
682829,30.5
607054,28.5
691023,28.5
680777,25.6
467793,25.5
691026,29.2
670541,26.8
676694,29.2
594777,26.5
676701,26.9
430945,28.1
430947,28.0
514917,29.8
592743,27.0
543592,27.2
611177,26.2
596847,25.9
467827,26.6
435062,26.7
435063,25.1
594807,27.5
621433,29.0
594809,28.9
807799,26.2
578428,28.4
621438,28.3
621439,30.9
572287,26.6
672640,27.5
621446,29.2
435079,26.9
519048,24.9
594824,28.5
594828,27.4
641933,29.5
621453,28.9
502671,27.4
570256,28.5
576397,24.7
519058,25.7
553869,27.2
594838,29.1
641943,28.3
553882,24.3
570267,28.2
400284,27.5
670623,25.5
623520,27.8
680869,29.0
682928,29.0
656305,28.7
621493,28.1
672695,27.3
605113,28.4
605119,26.7
453568,27.9
676801,28.7
543685,27.7
605131,27.2
572365,27.3
541645,29.0
588751,28.8
680911,29.1
605137,27.3
541650,27.9
605141,28.7
678882,28.7
607208,30.6
457705,28.5
457706,28.2
682985,27.7
457708,28.0
621550,27.8
605170,25.3
592885,28.8
523253,28.4
682998,30.7
683002,29.0
609275,30.2
621563,28.6
621566,24.7
457727,29.0
609280,27.2
668670,26.7
666624,28.8
683011,28.4
500743,26.4
553993,27.0
451594,28.5
543760,28.9
519184,28.4
680977,27.2
605204,26.8
689172,27.9
543768,26.1
656413,28.9
457759,26.1
519203,26.0
457763,25.4
134181,26.4
642086,25.4
668709,27.7
461865,27.2
