date,catcher_id,pitcher_id,runner_id,batter_id,fielder_id,target_base,result,runner_stealing_runs,lead_distance_gained,at_pitchers_first_move,at_pitch_release,ball_count,strike_count,pitch_type,velo,match_up,call,video_link
2022-04-07,425877,425794,621028,657061,657557.0,2B,CS,-0.45,7.6,10.8,18.4,3,2,CU,72.9,PIT @ STL,strike,https://baseballsavant.mlb.com/sporty-videos?playId=dc519d41-fe7f-448c-af96-3f95b3012892
2022-04-07,521692,425844,664702,642708,670032.0,2B,SB,0.2,9.8,11.0,20.8,2,0,FC,84.3,CLE @ KC,strike,https://baseballsavant.mlb.com/sporty-videos?playId=c0f32e24-1adc-4ed0-afd4-4e47eec83a87
2022-04-07,545358,605151,514888,488726,642180.0,2B,SB,0.2,12.0,11.3,23.3,0,0,KC,77.9,HOU @ LAA,strike,https://baseballsavant.mlb.com/sporty-videos?playId=a082638e-c0e6-4811-a28e-d9fee5513678
2022-04-07,547379,592390,502671,641933,,2B,SB,0.2,13.1,12.4,25.5,1,0,SL,84.2,PIT @ STL,strike,https://baseballsavant.mlb.com/sporty-videos?playId=c8332d5c-d5ed-4cfa-80be-2be6638a95e3
2022-04-07,553882,669203,542364,664023,642715.0,2B,CS,-0.45,11.3,12.0,23.3,0,0,FC,94.6,MIL @ CHC,unknown,https://baseballsavant.mlb.com/sporty-videos?playId=90e0d887-9c95-489b-bb0b-2b86aaced8b0
2022-04-07,575929,543294,607054,592885,663611.0,2B,SB,0.2,9.3,11.4,20.7,0,0,CH,79.3,MIL @ CHC,ball,https://baseballsavant.mlb.com/sporty-videos?playId=bec1002d-01fa-4c97-80bc-b29f3cbb5fb0
2022-04-07,595978,663474,641531,572191,665926.0,2B,CS,-0.45,11.1,12.2,23.3,1,0,FF,88.9,CLE @ KC,unknown,https://baseballsavant.mlb.com/sporty-videos?playId=02a49507-0501-4056-8c13-a9f5166935dd
2022-04-07,608348,518516,673490,543592,606466.0,2B,SB,0.2,11.4,12.0,23.4,0,1,FC,87.4,SD @ AZ,ball,https://baseballsavant.mlb.com/sporty-videos?playId=03301d38-61c2-4ff4-968d-53c42b95ca38
2022-04-07,660688,571578,516782,605204,514917.0,2B,CS,-0.45,9.9,10.5,20.4,1,1,FF,90.5,NYM @ WSH,ball,https://baseballsavant.mlb.com/sporty-videos?playId=137e9ecd-efd7-460c-9950-480fe3bd320a
2022-04-08,435559,661383,642350,455117,,2B,SB,0.2,10.8,12.8,23.6,1,1,CU,82.4,HOU @ LAA,ball,https://baseballsavant.mlb.com/sporty-videos?playId=18bb71c6-c6f0-4cc8-a44e-f0df81e93ebe
