date,catcher_name,pitcher_name,runner_name,batter_name,fielder_name,target_base,result,runner_stealing_runs,lead_distance_gained,at_pitchers_first_move,at_pitch_release,ball_count,strike_count,pitch_type,velo,description,match_up,video_link
2022-08-28,642851,Alex | Young,595909,Gary | Sánchez,605204,3B,SB,0.20,11.6,16.6,28.3,1,0,CH,84.4,Alex Young Ball to Gary Sanchez,SF @ MIN,https://baseballsavant.mlb.com/sporty-videos?playId=4cb99d20-3a1b-4837-aa03-422b121db239
2022-09-30,571466,Tyler | Alexander,595909,Jermaine | Palacios,--,2B,SB,0.20,11.5,12.2,23.8,0,1,CH,82.2,Tyler Alexander Called Strike to Jermaine Palacios,MIN @ DET,https://baseballsavant.mlb.com/sporty-videos?playId=3f4ff846-695c-4767-8463-dab2f48f8205
2023-04-01,641598,Nathan | Eovaldi,595909,Brandon | Marsh,608369,2B,SB,0.20,12.3,11.3,23.5,3,2,FC,91.9,Brandon Marsh called out on strikes. Jake Cave steals (1) 2nd base.,PHI @ TEX,https://baseballsavant.mlb.com/sporty-videos?playId=7323721b-567d-41da-af30-d34cbdcc8a53
2024-05-23,668832,Mason | Miller,595909,Ryan | McMahon,--,2B,SB,0.20,10.0,13.1,23.1,0,0,FF,99.8,Mason Miller Swinging Strike to Ryan McMahon,COL @ OAK,https://baseballsavant.mlb.com/sporty-videos?playId=160b5dab-aca9-4f3e-8e91-5a8e8e013905
2024-06-11,680777,Josh | Staumont,595909,Greg | Jones,621043,2B,CS,-0.45,9.4,11.9,21.3,0,0,FF,91.7,Josh Staumont Called Strike to Greg Jones,COL @ MIN,https://baseballsavant.mlb.com/sporty-videos?playId=57952623-90a9-496c-acab-9c9469138f55
2024-07-03,661388,Colin | Rea,595909,Aaron | Schunk,668930,2B,SB,0.20,12.4,11.4,23.8,2,2,SI,94.4,Colin Rea Ball to Aaron Schunk,MIL @ COL,https://baseballsavant.mlb.com/sporty-videos?playId=572c1afa-3be8-4c04-8b13-d82a62ebb94f
2024-07-21,672275,Camilo | Doval,595909,Jacob | Stallings,--,2B,SB,0.20,21.9,12.5,34.4,2,0,SL,87.0,Camilo Doval Called Strike to Jacob Stallings,SF @ COL,https://baseballsavant.mlb.com/sporty-videos?playId=aaa43346-84b0-4c1e-931b-8230ec9e3981
2024-07-22,657136,Tanner | Houck,595909,Jacob | Stallings,642197,2B,CS,-0.45,10.4,11.0,21.4,3,2,SI,94.1,Jacob Stallings strikes out on a foul tip and Jake Cave caught stealing 2nd| catcher Connor Wong to second baseman Jamie Westbrook to catcher Connor Wong.,BOS @ COL,https://baseballsavant.mlb.com/sporty-videos?playId=f408b71d-c949-4a86-b999-3d3453f99e83
2024-07-22,657136,Zack | Kelly,595909,Jacob | Stallings,666152,3B,BK,0.20,--,--,--,0,0,,,,BOS @ COL,https://baseballsavant.mlb.com/sporty-videos?playId=1054ce79-01b8-4b51-a5ca-304c1adb012c
2024-08-07,682626,José | Buttó,595909,Charlie | Blackmon,624413,2B,BK,0.20,--,--,--,1,2,,68.2,,NYM @ COL,https://baseballsavant.mlb.com/sporty-videos?playId=2a8d1c52-767b-4395-bcf7-0417f8de80ac
2024-08-13,645444,Kevin | Ginkel,595909,Ezequiel | Tovar,--,2B,SB,0.20,22.3,11.1,33.4,0,2,SL,88.4,Kevin Ginkel Ball to Ezequiel Tovar,COL @ AZ,https://baseballsavant.mlb.com/sporty-videos?playId=9323e7df-9512-41df-8cf4-b4be985b0ca8
2022-04-17,656180,Patrick | Corbin,592325,Cole | Tucker,514917,2B,SB,0.20,11.3,9.0,20.3,0,1,SL,79.4,Patrick Corbin Ball In Dirt to Cole Tucker,WSH @ PIT,https://baseballsavant.mlb.com/sporty-videos?playId=240f930c-b80e-474a-911a-9001ffd0892e
2022-04-24,575929,Chris | Martin,592325,Bryan | Reynolds,621550,2B,SB,0.20,12.8,10.3,23.1,1,1,FC,89.4,Chris Martin Swinging Strike to Bryan Reynolds,PIT @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=2a6409ec-6718-4067-8e21-924b87fcbc0d
2022-05-28,543592,Luis | García,592325,Rodolfo | Castro,642727,2B,SB,0.20,8.5,9.9,18.4,0,0,ST,81.8,Luis García Ball to Rodolfo Castro,PIT @ SD,https://baseballsavant.mlb.com/sporty-videos?playId=9d2b8798-bd67-4ef2-8ce7-8aa79af49367
2022-07-26,543228,Keegan | Thompson,592325,Greg | Allen,621550,2B,SB,0.20,6.2,10.9,17.1,3,2,FF,93.5,Greg Allen strikes out on a foul tip. Ben Gamel steals (4) 2nd base.,PIT @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=821a7ab3-daa4-4bbd-81f7-2ade299ff72e
2022-09-06,543510,Taijuan | Walker,592325,Ke'Bryan | Hayes,624413,2B,PK,-0.45,--,--,--,2,2,,76.0,Pickoff Attempt 1B,NYM @ PIT,https://baseballsavant.mlb.com/sporty-videos?playId=a6f655ad-81a3-420b-9697-a5803c2f19ce
2024-07-02,660688,Robert | Garcia,592325,Pete | Alonso,671277,2B,SB,0.20,9.7,11.3,21.0,1,1,CH,87.5,Robert Garcia Ball to Pete Alonso,NYM @ WSH,https://baseballsavant.mlb.com/sporty-videos?playId=24439801-3cab-4055-b79a-08b14ba178c5
2022-04-29,595284,Heath | Hembree,572204,Ha-Seong | Kim,642165,2B,CS,-0.45,13.3,9.2,22.5,1,1,SL,85.4,Heath Hembree Ball to Ha-Seong Kim,SD @ PIT,https://baseballsavant.mlb.com/sporty-videos?playId=e9325c6f-2427-4d53-881b-e21b2ab9ea70
2022-06-26,518595,Kenley | Jansen,572204,Trea | Turner,606115,2B,SB,0.19,14.7,12.7,27.3,1,0,SL,83.0,Kenley Jansen Ball to Trea Turner,LAD @ ATL,https://baseballsavant.mlb.com/sporty-videos?playId=f8386aa6-b3bc-469c-bcb2-8940848546d4
2022-08-03,663698,Alex | Cobb,572204,Gavin | Lux,--,2B,SB,0.20,7.7,10.8,18.5,0,1,FS,89.9,Alex Cobb Ball to Gavin Lux,LAD @ SF,https://baseballsavant.mlb.com/sporty-videos?playId=95822df8-028d-4efd-a7d5-5ee5b60c6d2a
2022-09-01,543510,Trevor | May,572204,Mookie | Betts,643446,2B,SB,0.20,14.1,11.3,25.4,3,2,CH,87.6,Mookie Betts strikes out swinging. Trayce Thompson steals (3) 2nd base.,LAD @ NYM,https://baseballsavant.mlb.com/sporty-videos?playId=3d178c07-dfe7-49f6-ac59-7e2a66b61bce
2022-10-02,661531,Germán | Márquez,572204,Cody | Bellinger,678662,2B,SB,0.20,12.4,11.5,23.8,0,0,SL,89.4,German Marquez Called Strike to Cody Bellinger,COL @ LAD,https://baseballsavant.mlb.com/sporty-videos?playId=19d9e427-06ac-4060-81f0-3817da4f3635
2023-05-15,543877,Jhoan | Duran,572204,Jason | Heyward,456781,2B,PK,-0.45,1.2,10.9,12.1,1,1,,81.3,Pickoff Attempt 1B,MIN @ LAD,https://baseballsavant.mlb.com/sporty-videos?playId=d6750412-7acf-4577-a162-3c83aa4eb40c
2023-08-09,543309,Keynan | Middleton,572204,Eloy | Jiménez,650402,2B,SB,0.20,11.9,11.6,23.5,1,2,FF,95.4,Keynan Middleton Ball to Eloy Jimenez,NYY @ CWS,https://baseballsavant.mlb.com/sporty-videos?playId=d004df7d-60c2-4c68-9622-dcb6915430b8
2023-10-01,664954,Scott | Barlow,572204,Elvis | Andrus,666703,3B,SB,0.20,18.4,16.3,34.6,1,1,SI,94.1,Scott Barlow Called Strike to Elvis Andrus,SD @ CWS,https://baseballsavant.mlb.com/sporty-videos?playId=a6e1b6f0-67ae-4c87-bcd6-7c19aed5b307
2022-05-25,605244,Luis | Castillo,663845,P.J. | Higgins,592273,2B,SB,0.20,5.9,12.3,18.3,1,1,SI,95.4,Luis Castillo Ball to P.J. Higgins,CHC @ CIN,https://baseballsavant.mlb.com/sporty-videos?playId=86ddfd81-4da3-4cce-bfa5-c45e1ec69c53
2022-06-28,605244,Luis | Castillo,663845,David | Bote,663697,2B,SB,0.20,8.0,12.2,20.2,3,2,FF,97.6,David Bote strikes out swinging. Alfonso Rivas steals (3) 2nd base.,CIN @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=25fb4723-6b1f-4271-80dc-04b712f60977
2022-07-30,663698,Jakob | Junis,663845,Rafael | Ortega,474832,2B,PK,-0.45,--,--,--,1,1,,68.3,Pickoff Attempt 1B,CHC @ SF,https://baseballsavant.mlb.com/sporty-videos?playId=3bdae92a-75f4-4064-a701-58e67c4e872b
2022-09-22,641511,David | Bednar,663845,Nelson | Velázquez,621028,2B,SB,0.20,8.5,11.2,19.8,3,2,CU,75.6,Nelson Velazquez strikes out swinging. Alfonso Rivas steals (6) 2nd base.,CHC @ PIT,https://baseballsavant.mlb.com/sporty-videos?playId=4c07e72b-1533-4562-b08a-a7714faca50c
2023-09-08,518595,Bryce | Elder,663845,Alika | Williams,645277,2B,SB,0.20,7.8,11.6,19.4,1,1,SL,84.6,Bryce Elder Swinging Strike to Alika Williams,PIT @ ATL,https://baseballsavant.mlb.com/sporty-videos?playId=b1bc60b5-27c6-4784-9411-a8920a21edc3
2022-04-07,553882,Corbin | Burnes,542364,Ian | Happ,642715,2B,CS,-0.45,11.3,12.0,23.3,0,0,FC,94.6,Rafael Ortega caught stealing 2nd base| catcher Omar Narvaez to shortstop Willy Adames.,MIL @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=90e0d887-9c95-489b-bb0b-2b86aaced8b0
2022-04-10,553882,Freddy | Peralta,542364,Jonathan | Villar,642715,2B,CS,-0.45,7.9,12.6,20.5,1,0,CH,87.2,Freddy Peralta Swinging Strike to Jonathan Villar,MIL @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=c1099391-93c2-4207-b40e-efa0fc625983
2022-04-27,518595,Charlie | Morton,542364,Seiya | Suzuki,645277,2B,CS,-0.45,7.1,10.4,17.4,3,2,FF,95.1,Seiya Suzuki called out on strikes and Rafael Ortega caught stealing 2nd| catcher Travis d'Arnaud to second baseman Ozzie Albies to catcher Travis d'Arnaud.,CHC @ ATL,https://baseballsavant.mlb.com/sporty-videos?playId=aaf96953-bc43-43a3-8e5b-bdef52732d5c
2022-05-08,669257,Walker | Buehler,542364,Ian | Happ,607208,2B,SB,0.20,20.2,10.9,31.2,1,1,CH,91.3,Walker Buehler Swinging Strike to Ian Happ,LAD @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=b6965808-4877-45a6-9960-f6d94c9640e6
2022-05-10,543592,Steven | Wilson,542364,Patrick | Wisdom,592518,3B,SB,0.20,14.9,14.4,29.3,1,2,SL,84.2,Steven Wilson Ball to Patrick Wisdom,CHC @ SD,https://baseballsavant.mlb.com/sporty-videos?playId=a8ade109-a02a-4b32-971e-86b15f6e183d
2022-05-11,595751,Craig | Stammen,542364,Willson | Contreras,630105,2B,CS,-0.45,7.5,12.1,19.6,1,1,FC,88.0,Rafael Ortega caught stealing 2nd base| catcher Jorge Alfaro to second baseman Jake Cronenworth.,CHC @ SD,https://baseballsavant.mlb.com/sporty-videos?playId=b2d67f7a-b389-4ba0-8e3f-966d0261a34c
2022-05-29,624512,Dylan | Cease,542364,Nico | Hoerner,664901,2B,SB,0.20,13.1,11.4,24.5,0,0,KC,83.3,Dylan Cease Called Strike to Nico Hoerner,CHC @ CWS,https://baseballsavant.mlb.com/sporty-videos?playId=c282453a-0d5e-4df8-989f-baa8edd156e4
2022-06-28,605244,Luis | Castillo,542364,Willson | Contreras,--,2B,SB,0.20,27.5,14.3,41.7,1,1,CH,87.5,Luis Castillo Called Strike to Willson Contreras,CIN @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=0acf2036-3f53-43c4-a008-50588c3d19b9
2022-07-16,621512,Max | Scherzer,542364,Christopher | Morel,643446,2B,CS,-0.45,6.5,9.7,16.2,1,1,SL,83.4,Max Scherzer Swinging Strike to Christopher Morel,NYM @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=b8b22262-8b38-461f-b482-11812dfb4669
2022-07-26,641511,Tyler | Beede,542364,Willson | Contreras,--,2B,SB,0.20,14.5,9.9,24.4,1,2,CH,83.8,Tyler Beede Ball to Willson Contreras,PIT @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=abbb79cb-61dc-41ef-a502-5953759e4855
2022-08-02,425877,Adam | Wainwright,542364,Seiya | Suzuki,669242,2B,CS,-0.45,6.8,10.5,17.3,3,2,CU,72.7,Seiya Suzuki strikes out swinging and Rafael Ortega caught stealing 2nd| catcher Yadier Molina to second baseman Tommy Edman to catcher Yadier Molina.,CHC @ STL,https://baseballsavant.mlb.com/sporty-videos?playId=6b408615-6e4e-45ba-9b1f-f60aeb98a245
2023-08-09,665804,Kyle | Hendricks,542364,Brandon | Nimmo,621020,2B,SB,0.20,14.1,11.7,25.7,0,1,FF,88.4,Kyle Hendricks Ball to Brandon Nimmo,CHC @ NYM,https://baseballsavant.mlb.com/sporty-videos?playId=f051417d-32c9-4dc3-ab0f-f3381238a961
2023-08-11,518595,Charlie | Morton,542364,Jonathan | Araúz,606115,2B,SB,0.20,8.4,11.2,19.6,0,1,CU,83.1,Charlie Morton Swinging Strike to Jonathan Arauz,ATL @ NYM,https://baseballsavant.mlb.com/sporty-videos?playId=0aef5ddb-e1aa-4d7c-b343-3724ae64e9df
