date,catcher_name,pitcher_name,runner_name,batter_name,fielder_name,target_base,result,runner_stealing_runs,lead_distance_gained,at_pitchers_first_move,at_pitch_release,ball_count,strike_count,pitch_type,velo,call,match_up,video_link
2024-06-20,641598,608070,608070,647304,641487,2B,SB,0.20,9.0,11.3,20.3,0,0,CH,87.8,ball,SEA @ CLE,https://baseballsavant.mlb.com/sporty-videos?playId=b65d618f-a0ae-43ba-94c9-504ffec1e5dd
2023-07-22,682626,680776,680776,807799,596019,2B,SB,0.20,12.1,11.7,23.8,0,1,FC,90.7,ball,NYM @ BOS,https://baseballsavant.mlb.com/sporty-videos?playId=1582ad8e-4b05-44fc-8f13-d308393c535b
2023-04-07,624431,622761,622761,656775,683011,2B,SB,0.20,13.1,12.2,25.4,0,2,PO,90.0,unknown,NYY @ BAL,https://baseballsavant.mlb.com/sporty-videos?playId=53e34cf0-022e-457c-88d4-a0d49e48de70
2024-08-28,666023,657041,657041,680757,677951,2B,SB,0.20,11.0,10.4,21.4,0,1,CH,84.2,ball,KC @ CLE,https://baseballsavant.mlb.com/sporty-videos?playId=66566e49-fbd3-40b5-929f-1959c16be190
2023-04-09,669004,624424,624424,605204,686681,2B,SB,0.20,10.9,10.8,21.7,1,1,CU,81.4,strike,KC @ SF,https://baseballsavant.mlb.com/sporty-videos?playId=063ad20d-674a-496a-85d3-27e3dc33a4bb
2024-07-20,642020,677951,677951,521692,657557,3B,CS,-0.45,11.5,14.9,26.4,0,0,SI,94.8,strike,CWS @ KC,https://baseballsavant.mlb.com/sporty-videos?playId=54087fde-54cf-424b-9819-2e271f5df6b7
2023-04-02,518735,676801,676801,667452,462101,2B,SB,0.20,11.3,11.9,23.2,2,2,FF,95.6,ball,CWS @ HOU,https://baseballsavant.mlb.com/sporty-videos?playId=9f90d567-c8c6-42f9-a1ec-adc5769fdfda
2024-04-20,673237,657041,657041,671277,665161,2B,SB,0.20,7.8,10.3,18.1,0,0,CU,84.0,ball,HOU @ WSH,https://baseballsavant.mlb.com/sporty-videos?playId=1ca31411-3303-4339-b241-60104c3a01ae
2024-05-07,661388,677951,677951,686469,642715,2B,SB,0.20,9.8,11.7,21.5,1,0,SL,86.9,strike,MIL @ KC,https://baseballsavant.mlb.com/sporty-videos?playId=79c4dc94-5310-4eb3-a7de-96754562ca45
2023-08-26,663728,680118,680118,664728,641487,2B,SB,0.20,6.4,11.4,17.8,0,1,FF,96.3,ball,KC @ SEA,https://baseballsavant.mlb.com/sporty-videos?playId=a8de35ba-0ae4-42fb-be41-ceb9a0ce4ffa
2025-04-05,543877,665161,665161,663898,--,2B,SB,0.20,8.6,12.5,21.2,1,2,CH,83.8,ball,HOU @ MIN,https://baseballsavant.mlb.com/sporty-videos?playId=d31f9f2d-7eec-3560-aab0-aa372be474d3
2024-04-21,643376,673490,673490,669134,643396,2B,SB,0.20,10.3,14.2,24.5,0,0,SL,84.3,strike,TOR @ SD,https://baseballsavant.mlb.com/sporty-videos?playId=80375e9e-6e55-4c7b-bbd6-2e5cf99e8de8
2023-04-26,657136,656775,656775,623993,571771,2B,SB,0.20,12.0,12.3,24.3,0,1,PO,90.9,unknown,BOS @ BAL,https://baseballsavant.mlb.com/sporty-videos?playId=7b3d9e07-7eec-4511-8d35-e7964683a271
2023-06-06,672275,666134,666134,676701,642731,2B,SB,0.20,12.3,12.1,24.4,1,2,SI,94.6,ball,SF @ COL,https://baseballsavant.mlb.com/sporty-videos?playId=c158982b-5d6e-454e-9dbe-29c3eedd0d81
2025-04-02,668670,664238,664238,669208,690993,2B,SB,0.20,8.5,13.1,21.6,0,0,SI,94.8,unknown,DET @ SEA,https://baseballsavant.mlb.com/sporty-videos?playId=d1a3a92e-41f1-3cfd-bc85-fdd4c0268da4
2024-04-16,661388,665487,665487,595777,642715,2B,SB,0.20,10.2,11.7,21.9,1,1,SI,95.7,ball,SD @ MIL,https://baseballsavant.mlb.com/sporty-videos?playId=6c3a6f8a-f66a-495b-9187-a548412d25b9
2024-04-06,663886,516782,516782,643446,682829,2B,SB,0.20,9.2,11.2,20.4,1,0,FC,87.1,strike,NYM @ CIN,https://baseballsavant.mlb.com/sporty-videos?playId=cbdb30e5-5b43-451f-97f5-3bb8c247bac0
2023-09-11,663698,666310,666310,664702,642731,2B,SB,0.20,9.3,11.4,20.7,1,1,SL,82.2,ball,CLE @ SF,https://baseballsavant.mlb.com/sporty-videos?playId=00f6098d-453c-4ede-9524-287988a12016
2024-04-01,680779,645302,645302,682928,--,2B,SB,0.20,8.9,11.0,19.9,0,0,CU,78.0,strike,PIT @ WSH,https://baseballsavant.mlb.com/sporty-videos?playId=5a99ab61-9ffb-410d-b0dd-54b98c8ebfb6
2025-04-05,624431,668930,668930,661388,669289,2B,SB,0.20,7.5,10.4,17.9,1,2,SL,81.9,ball,CIN @ MIL,https://baseballsavant.mlb.com/sporty-videos?playId=29499e35-33ef-3181-89d6-beadf8c890dd
2023-06-18,543309,624512,624512,622569,650402,2B,CS,-0.45,13.2,10.8,24.0,1,1,FF,92.5,ball,NYY @ BOS,https://baseballsavant.mlb.com/sporty-videos?playId=198bd54e-26cf-4395-8349-7fc7ae10f3ca
2024-06-11,607732,650489,650489,666135,678662,2B,SB,0.20,12.8,12.5,25.4,0,0,CU,79.7,ball,COL @ MIN,https://baseballsavant.mlb.com/sporty-videos?playId=dfa9c59f-7787-4928-bac2-ebafe9026011
2023-05-16,661388,575929,575929,571448,668930,2B,SB,0.20,8.2,12.7,21.0,0,2,SL,84.8,ball,MIL @ STL,https://baseballsavant.mlb.com/sporty-videos?playId=3514e01f-528c-4c97-a1ec-7e9df89e4cd1
2023-07-08,455117,676609,676609,641487,608324,3B,SB,0.20,15.7,17.7,33.4,0,1,SI,97.0,strike,SEA @ HOU,https://baseballsavant.mlb.com/sporty-videos?playId=34a054ad-e2c3-4b0b-a7f5-a5787489ea0b
2023-08-23,455117,622569,622569,657077,547989,2B,BK,0.20,2.2,10.6,12.9,0,0,,82.6,unknown,BOS @ HOU,https://baseballsavant.mlb.com/sporty-videos?playId=1965b853-c252-4480-951a-1c6e2db915ed
2025-04-08,641598,676694,676694,514888,669208,2B,SB,0.20,9.6,10.2,19.8,1,1,FF,95.5,strike,HOU @ SEA,https://baseballsavant.mlb.com/sporty-videos?playId=da9d531b-117b-3741-9060-6ca420a2bc6a
2023-08-05,595453,677594,677594,606192,592273,2B,CS,-0.45,6.7,12.1,18.8,0,1,CH,79.3,unknown,SEA @ LAA,https://baseballsavant.mlb.com/sporty-videos?playId=9930a003-92fe-4914-a2a9-a3914b1f2eb7
2024-09-08,657136,673357,673357,643217,671213,2B,PK,-0.45,--,--,--,3,2,,74.4,unknown,CWS @ BOS,https://baseballsavant.mlb.com/sporty-videos?playId=6b957eea-6197-4a62-b5e5-abef5232cdc0
2023-09-21,666165,518692,518692,519293,642731,2B,SB,0.20,13.2,11.3,24.4,0,0,SI,92.5,strike,SF @ LAD,https://baseballsavant.mlb.com/sporty-videos?playId=fe4194c9-aaff-4172-98f4-1ade20ea512f
2023-09-18,620443,665923,665923,669127,676609,2B,SB,0.20,12.3,14.1,26.4,0,0,FF,94.2,ball,SEA @ OAK,https://baseballsavant.mlb.com/sporty-videos?playId=6cf62cfa-9c13-4dc1-b4f6-2bdf3244e018
2024-08-28,663886,671732,671732,667670,--,2B,SB,0.20,7.4,11.7,19.1,0,2,FS,80.9,ball,OAK @ CIN,https://baseballsavant.mlb.com/sporty-videos?playId=32002815-9b21-4a89-afcb-948957b22cfe
2023-08-04,518735,664702,664702,680757,641313,2B,SB,0.20,8.8,11.4,20.2,0,1,CH,85.4,ball,CWS @ CLE,https://baseballsavant.mlb.com/sporty-videos?playId=ab8a734a-efde-42e5-8679-37ade494f36a
2024-05-13,641680,677587,677587,671289,--,2B,SB,0.20,11.2,10.7,22.0,2,2,FF,94.1,ball,CLE @ TEX,https://baseballsavant.mlb.com/sporty-videos?playId=be29f02f-6c2b-4d3d-a798-8372e4076197
2024-08-15,657136,656775,656775,602104,666152,2B,SB,0.20,5.6,12.2,17.9,3,2,ST,80.9,strike,BOS @ BAL,https://baseballsavant.mlb.com/sporty-videos?playId=3b0adcbf-24fe-419f-ba26-69a28572ded5
2024-08-12,686780,641584,641584,682622,680977,2B,SB,0.20,8.7,10.8,19.4,2,2,SI,93.6,strike,STL @ CIN,https://baseballsavant.mlb.com/sporty-videos?playId=23369460-e8b5-43f0-8e4e-097814cf6729
2024-08-07,680777,643565,643565,663538,--,2B,SB,0.20,9.8,12.8,22.6,2,2,ST,82.6,ball,MIN @ CHC,https://baseballsavant.mlb.com/sporty-videos?playId=d5370f74-4204-49ff-93ee-8b16f7b5decc
